"","candidate.id","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","long"
"302",253980,1,1,4,1,1,5,2,2,2,1,4,2,3
"303",253986,2,2,3,1,1,2,1,1,1,1,1,2,5
"304",253995,2,1,4,2,2,3,1,1,2,1,2,2,2
"305",254008,1,1,5,1,1,5,1,2,1,1,1,4,3
"306",254098,2,2,4,1,1,4,1,1,4,1,1,2,2
"307",254101,2,1,2,1,1,1,1,1,5,2,1,1,5
"308",254125,1,1,6,1,1,4,1,1,1,1,1,1,6
"309",254126,1,1,6,1,1,5,4,1,5,1,1,4,2
"310",254127,1,1,4,1,1,3,1,1,1,1,1,1,6
"311",254180,1,1,5,1,1,4,1,1,1,1,1,2,5
"312",254185,1,1,4,1,1,4,1,1,1,1,2,1,4
"313",254289,4,2,5,3,1,5,4,2,6,4,3,5,1
"314",254331,4,2,4,1,2,3,4,4,3,2,4,4,2
"315",254339,1,1,5,1,1,1,1,1,6,1,1,1,5
"316",254340,2,1,5,2,1,6,5,1,5,4,1,5,1
"317",254343,2,2,4,1,1,4,4,1,5,3,1,4,2
"318",254353,2,1,6,1,1,6,1,1,6,1,1,2,2
"319",254354,4,2,6,2,1,5,5,1,6,4,1,1,2
"320",254358,2,2,4,1,2,5,2,1,6,2,1,4,2
"322",254362,4,1,1,2,2,1,4,5,6,4,1,2,2
"323",254363,2,2,5,2,1,5,2,2,2,2,2,2,6
"324",254366,2,2,6,1,1,6,1,1,5,2,1,5,2
"325",254368,3,6,6,3,1,6,3,1,6,3,5,6,2
"327",254370,1,1,6,1,1,4,1,1,1,1,1,1,6
"328",254371,1,1,3,1,1,3,1,1,1,1,1,1,6
"329",254374,3,1,4,3,2,2,2,1,1,2,2,2,3
"330",254387,1,1,5,1,1,5,1,1,1,1,5,5,4
